stimulus,word_type,valence,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,text.started,key_resp.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,fixation.started,stimuli.started,key_resp_2.started,fixation.stopped,trial.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.0025413999992451863,0.0070042999996076105,0.0070042999996076105,0.6639352000001963,n,0.6399488000006386,None,,,,,,,,,,,p6,001,2024-11-30_18h24.03.705,lexical decision,2024.1.5,None,2024-11-30 18h24.15.860673 +0530,
Zart,non-word,neutral,n,0,0,0,34,0.6995991999992839,,,,,,,,,0.6881735999995726,0.6995991999992839,1.6697121999986848,1.6697121999986848,1.7031018999987282,2.23829829999886,n,1,0.5662494000007428,None,p6,001,2024-11-30_18h24.03.705,lexical decision,2024.1.5,None,2024-11-30 18h24.15.860673 +0530,
Success,word,positive,w,0,1,1,3,2.257812299998477,,,,,,,,,2.240082899999834,2.257812299998477,3.252722299999732,3.252722299999732,3.2692705999997997,3.7374050999987958,w,1,0.47504269999990356,None,p6,001,2024-11-30_18h24.03.705,lexical decision,2024.1.5,None,2024-11-30 18h24.15.860673 +0530,
Happy,word,positive,w,0,2,2,0,3.7535699000000022,,,,,,,,,3.7386366999999154,3.7535699000000022,4.752113699998517,4.752113699998517,4.768877699998484,5.237428200000068,w,1,0.47799010000017006,None,p6,001,2024-11-30_18h24.03.705,lexical decision,2024.1.5,None,2024-11-30 18h24.15.860673 +0530,
Death,word,negative,w,0,3,3,13,5.256655099999989,,,,,,,,,5.2389187999997375,5.256655099999989,6.251904499999,6.251904499999,6.268410499998936,6.670109799999409,w,1,0.4090779999987717,None,p6,001,2024-11-30_18h24.03.705,lexical decision,2024.1.5,None,2024-11-30 18h24.15.860673 +0530,
Joy,word,positive,w,0,4,4,1,6.689091599999301,,,,,,,,,6.671678999999131,6.689091599999301,7.684743699999672,7.684743699999672,7.701355699999112,8.019661999998789,w,1,0.32238759999927424,None,p6,001,2024-11-30_18h24.03.705,lexical decision,2024.1.5,None,2024-11-30 18h24.15.860673 +0530,
Book,word,neutral,w,0,5,5,21,8.039671799999269,,,,,,,,,8.021005699998568,8.039671799999269,9.034633399998711,9.034633399998711,9.051380899998549,9.371760699999868,w,1,0.3339700000015,None,p6,001,2024-11-30_18h24.03.705,lexical decision,2024.1.5,None,2024-11-30 18h24.15.860673 +0530,
Table,word,neutral,w,0,6,6,20,9.388300499998877,,,,,,,,,9.373191399999996,9.388300499998877,10.384146700000201,10.384146700000201,10.400487699998848,10.819295499999498,w,1,0.4290734000005614,None,p6,001,2024-11-30_18h24.03.705,lexical decision,2024.1.5,None,2024-11-30 18h24.15.860673 +0530,
Anger,word,negative,w,0,7,7,11,10.839637999999468,,,,,,,,,10.82081879999896,10.839637999999468,11.833600799998749,11.833600799998749,11.8504911,12.201753199999075,w,1,0.3628493999985949,None,p6,001,2024-11-30_18h24.03.705,lexical decision,2024.1.5,None,2024-11-30 18h24.15.860673 +0530,
Darz,non-word,neutral,n,0,8,8,38,12.218476099998952,,,,,,,,,12.202982999999222,12.218476099998952,13.216189499999018,13.216189499999018,13.232775899999979,13.584756999998717,w,0,0.3576321000000462,None,p6,001,2024-11-30_18h24.03.705,lexical decision,2024.1.5,None,2024-11-30 18h24.15.860673 +0530,
