stimulus,word_type,valence,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,text.started,key_resp.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,fixation.started,stimuli.started,key_resp_2.started,fixation.stopped,trial.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.0026307000007363968,0.007121399999959976,0.007121399999959976,8.368256800000381,space,8.342320600000676,None,,,,,,,,,,,p1,001,2024-11-30_18h14.02.725,lexical decision,2024.1.5,None,2024-11-30 18h14.19.158381 +0530,
Joy,word,positive,w,0,0,0,1,8.41557020000073,,,,,,,,,8.40280139999959,8.41557020000073,9.371919400000479,9.371919400000479,9.421792400000413,10.340810199999396,w,1,0.9657428999998956,None,p1,001,2024-11-30_18h14.02.725,lexical decision,2024.1.5,None,2024-11-30 18h14.19.158381 +0530,
Lamp,word,neutral,w,0,1,1,23,10.360198200000013,,,,,,,,,10.342776100000265,10.360198200000013,11.354433000000427,11.354433000000427,11.37085660000048,11.923479099999895,w,1,0.5544006000000081,None,p1,001,2024-11-30_18h14.02.725,lexical decision,2024.1.5,None,2024-11-30 18h14.19.158381 +0530,
Grief,word,negative,w,0,2,2,19,11.942153800000597,,,,,,,,,11.925121300000683,11.942153800000597,12.937314900000274,12.937314900000274,12.953897100000177,13.340075599999182,w,1,0.40001940000001923,None,p1,001,2024-11-30_18h14.02.725,lexical decision,2024.1.5,None,2024-11-30 18h14.19.158381 +0530,
Darz,non-word,neutral,n,0,3,3,38,13.36065090000011,,,,,,,,,13.341558500000247,13.36065090000011,14.353681299999153,14.353681299999153,14.370317299999442,14.805044900000212,w,0,0.4343327999995381,None,p1,001,2024-11-30_18h14.02.725,lexical decision,2024.1.5,None,2024-11-30 18h14.19.158381 +0530,
Table,word,neutral,w,0,4,4,20,14.820816299999933,,,,,,,,,14.806516999999076,14.820816299999933,15.819741699999213,15.819741699999213,15.836298399999578,16.27196869999898,w,1,0.4390432000000146,None,p1,001,2024-11-30_18h14.02.725,lexical decision,2024.1.5,None,2024-11-30 18h14.19.158381 +0530,
Quimf,non-word,neutral,n,0,5,5,35,16.294222500000615,,,,,,,,,16.273632099999304,16.294222500000615,17.28580399999919,17.28580399999919,17.30233539999972,17.888731999999436,n,1,0.5996861999992689,None,p1,001,2024-11-30_18h14.02.725,lexical decision,2024.1.5,None,2024-11-30 18h14.19.158381 +0530,
Frienship,word,positive,w,0,6,6,8,17.910214800000176,,,,,,,,,17.890657300000385,17.910214800000176,18.90176640000027,18.90176640000027,18.918542699999307,19.40388089999942,w,1,0.4923254999994242,None,p1,001,2024-11-30_18h14.02.725,lexical decision,2024.1.5,None,2024-11-30 18h14.19.158381 +0530,
Pencil,word,neutral,w,0,7,7,26,19.418403899999248,,,,,,,,,19.405368499999895,19.418403899999248,20.41805790000035,20.41805790000035,20.41805790000035,20.903676100000666,w,1,0.4759252000003471,None,p1,001,2024-11-30_18h14.02.725,lexical decision,2024.1.5,None,2024-11-30 18h14.19.158381 +0530,
Snarp,non-word,neutral,n,0,8,8,39,20.924232299999858,,,,,,,,,20.90530509999917,20.924232299999858,21.917573700000503,21.917573700000503,21.934322600000087,23.419745299999704,n,1,1.4988701999991463,None,p1,001,2024-11-30_18h14.02.725,lexical decision,2024.1.5,None,2024-11-30 18h14.19.158381 +0530,
Blurf,non-word,neutral,n,0,9,9,31,23.438018400000146,,,,,,,,,23.42125379999925,23.438018400000146,24.433323799999926,24.433323799999926,24.450018399998953,25.201988599999822,n,1,0.758066599999438,None,p1,001,2024-11-30_18h14.02.725,lexical decision,2024.1.5,None,2024-11-30 18h14.19.158381 +0530,
Pain,word,negative,w,0,10,10,15,25.216515199999776,,,,,,,,,25.203476299999238,25.216515199999776,26.216170300000158,26.216170300000158,26.216170300000158,26.934549600000537,w,1,0.7137639000011404,None,p1,001,2024-11-30_18h14.02.725,lexical decision,2024.1.5,None,2024-11-30 18h14.19.158381 +0530,
Woxel,non-word,neutral,n,0,11,11,32,26.954711500000485,,,,,,,,,26.936061399999744,26.954711500000485,27.94894430000022,27.94894430000022,27.965349399999468,28.5837434999994,n,1,0.6174886000007973,None,p1,001,2024-11-30_18h14.02.725,lexical decision,2024.1.5,None,2024-11-30 18h14.19.158381 +0530,
Love,word,positive,w,0,12,12,2,28.60092859999895,,,,,,,,,28.585833999999522,28.60092859999895,29.598356799999237,29.598356799999237,29.61497000000054,30.167464899999686,w,1,0.563875799998641,None,p1,001,2024-11-30_18h14.02.725,lexical decision,2024.1.5,None,2024-11-30 18h14.19.158381 +0530,
Paper,word,neutral,w,0,13,13,29,30.18455240000003,,,,,,,,,30.169137099999716,30.18455240000003,31.181051800000205,31.181051800000205,31.197597599999426,31.965888599999744,w,1,0.7682112999991659,None,p1,001,2024-11-30_18h14.02.725,lexical decision,2024.1.5,None,2024-11-30 18h14.19.158381 +0530,
Clock,word,neutral,w,0,14,14,28,31.982093200000236,,,,,,,,,31.967463200000566,31.982093200000236,32.980669799999305,32.980669799999305,32.99730989999989,33.51568790000056,w,1,0.5221506000016234,None,p1,001,2024-11-30_18h14.02.725,lexical decision,2024.1.5,None,2024-11-30 18h14.19.158381 +0530,
Success,word,positive,w,0,15,15,3,33.533051700000215,,,,,,,,,33.517505800000436,33.533051700000215,34.53004599999986,34.53004599999986,34.54661540000052,35.03238169999895,w,1,0.49797190000026603,None,p1,001,2024-11-30_18h14.02.725,lexical decision,2024.1.5,None,2024-11-30 18h14.19.158381 +0530,
Book,word,neutral,w,0,16,16,21,35.048762299999,,,,,,,,,35.034025900000415,35.048762299999,36.04590140000073,36.04590140000073,36.06277810000029,36.56529539999974,w,1,0.5155701999992743,None,p1,001,2024-11-30_18h14.02.725,lexical decision,2024.1.5,None,2024-11-30 18h14.19.158381 +0530,
Fear,word,negative,w,0,17,17,12,36.581867599999896,,,,,,,,,36.56700169999931,36.581867599999896,37.57896620000065,37.57896620000065,37.5956428999998,38.114412099999754,w,1,0.5211878999998589,None,p1,001,2024-11-30_18h14.02.725,lexical decision,2024.1.5,None,2024-11-30 18h14.19.158381 +0530,
Glirn,non-word,neutral,n,0,18,18,33,38.13056610000058,,,,,,,,,38.11590479999904,38.13056610000058,39.12842060000003,39.12842060000003,39.14504780000061,39.814034099999844,n,1,0.6812855000007403,None,p1,001,2024-11-30_18h14.02.725,lexical decision,2024.1.5,None,2024-11-30 18h14.19.158381 +0530,
