stimulus,word_type,valence,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,text.started,key_resp.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,fixation.started,stimuli.started,key_resp_2.started,fixation.stopped,trial.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.0028352999997878214,0.008434800000031828,0.008434800000031828,0.39309809999940626,x,0.36716750000050524,None,,,,,,,,,,,p2,001,2024-11-30_18h16.33.437,lexical decision,2024.1.5,None,2024-11-30 18h16.58.244518 +0530,
Bork,non-word,neutral,n,0,0,0,37,0.42744259999926726,,,,,,,,,0.41627259999950184,0.42744259999926726,1.4007450999997673,1.4007450999997673,1.4339725999998336,2.6690875999993295,n,1,1.2651375999994343,None,p2,001,2024-11-30_18h16.33.437,lexical decision,2024.1.5,None,2024-11-30 18h16.58.244518 +0530,
Anger,word,negative,w,0,1,1,11,2.691122700000051,,,,,,,,,2.6711943999998766,2.691122700000051,3.6834084000001894,3.6834084000001894,3.699771300000066,4.1360822999995435,w,1,0.4485456999991584,None,p2,001,2024-11-30_18h16.33.437,lexical decision,2024.1.5,None,2024-11-30 18h16.58.244518 +0530,
Pain,word,negative,w,0,2,2,15,4.150323899999421,,,,,,,,,4.137752399999954,4.150323899999421,5.149598199999673,5.149598199999673,5.149598199999673,5.585011900000609,w,1,0.42367449999983364,None,p2,001,2024-11-30_18h16.33.437,lexical decision,2024.1.5,None,2024-11-30 18h16.58.244518 +0530,
Loss,word,negative,w,0,3,3,16,5.60383659999934,,,,,,,,,5.586506600000575,5.60383659999934,6.599245299999893,6.599245299999893,6.615844600000855,7.0345359000002645,w,1,0.4177452000003541,None,p2,001,2024-11-30_18h16.33.437,lexical decision,2024.1.5,None,2024-11-30 18h16.58.244518 +0530,
Sad,word,negative,w,0,4,4,10,7.052982299999712,,,,,,,,,7.036134100000709,7.052982299999712,8.049215799999729,8.049215799999729,8.065838799999256,8.450589600000967,w,1,0.38527849999991304,None,p2,001,2024-11-30_18h16.33.437,lexical decision,2024.1.5,None,2024-11-30 18h16.58.244518 +0530,
Plonk,non-word,neutral,n,0,5,5,36,8.46526350000022,,,,,,,,,8.451927500000238,8.46526350000022,9.465683500000523,9.465683500000523,9.465683500000523,9.834502300000167,w,0,0.35747319999973115,None,p2,001,2024-11-30_18h16.33.437,lexical decision,2024.1.5,None,2024-11-30 18h16.58.244518 +0530,
Table,word,neutral,w,0,6,6,20,9.851002999999764,,,,,,,,,9.836189400000876,9.851002999999764,10.848243599999478,10.848243599999478,10.864851300000737,11.349599099999978,w,1,0.4872106000002532,None,p2,001,2024-11-30_18h16.33.437,lexical decision,2024.1.5,None,2024-11-30 18h16.58.244518 +0530,
Glirn,non-word,neutral,n,0,7,7,33,11.366123499999958,,,,,,,,,11.351039900000615,11.366123499999958,12.36424950000037,12.36424950000037,12.380986599999233,12.832762699999876,w,0,0.45388240000102087,None,p2,001,2024-11-30_18h16.33.437,lexical decision,2024.1.5,None,2024-11-30 18h16.58.244518 +0530,
Lamp,word,neutral,w,0,8,8,23,12.84716429999935,,,,,,,,,12.83403879999969,12.84716429999935,13.847065699999803,13.847065699999803,13.847065699999803,14.532166200000574,w,1,0.6711610000002111,None,p2,001,2024-11-30_18h16.33.437,lexical decision,2024.1.5,None,2024-11-30 18h16.58.244518 +0530,
Grief,word,negative,w,0,9,9,19,14.548759999999675,,,,,,,,,14.533506300000226,14.548759999999675,15.546534600000086,15.546534600000086,15.563230699999622,15.998396799999682,w,1,0.4478657999989082,None,p2,001,2024-11-30_18h16.33.437,lexical decision,2024.1.5,None,2024-11-30 18h16.58.244518 +0530,
Freedom,word,positive,w,0,10,10,4,16.015478400000575,,,,,,,,,15.999713600000177,16.015478400000575,17.012598200000866,17.012598200000866,17.02925309999955,17.564393200000268,w,1,0.5463861000007455,None,p2,001,2024-11-30_18h16.33.437,lexical decision,2024.1.5,None,2024-11-30 18h16.58.244518 +0530,
Death,word,negative,w,0,11,11,13,17.581958299999314,,,,,,,,,17.565748600000006,17.581958299999314,18.578820200000337,18.578820200000337,18.59539290000066,19.113429999999425,w,1,0.5171575000003941,None,p2,001,2024-11-30_18h16.33.437,lexical decision,2024.1.5,None,2024-11-30 18h16.58.244518 +0530,
Cry,word,negative,w,0,12,12,17,19.129711199999292,,,,,,,,,19.11474939999971,19.129711199999292,20.128297600000224,20.128297600000224,20.144890900000973,20.762666500000705,w,1,0.6187476000013703,None,p2,001,2024-11-30_18h16.33.437,lexical decision,2024.1.5,None,2024-11-30 18h16.58.244518 +0530,
Peace,word,positive,w,0,13,13,5,20.777723700000934,,,,,,,,,20.763877100000173,20.777723700000934,21.77775190000102,21.77775190000102,21.77775190000102,22.229823899999246,w,1,0.44374229999993986,None,p2,001,2024-11-30_18h16.33.437,lexical decision,2024.1.5,None,2024-11-30 18h16.58.244518 +0530,
Book,word,neutral,w,0,14,14,21,22.24438299999929,,,,,,,,,22.231315499999255,22.24438299999929,23.244090800000777,23.244090800000777,23.244090800000777,23.6965495000004,w,1,0.44871909999892523,None,p2,001,2024-11-30_18h16.33.437,lexical decision,2024.1.5,None,2024-11-30 18h16.58.244518 +0530,
