stimulus,word_type,valence,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,text.started,key_resp.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,fixation.started,stimuli.started,key_resp_2.started,fixation.stopped,trial.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.0025974999989557546,0.007532699999501347,0.007532699999501347,0.5663786999994045,w,0.5341376999986096,None,,,,,,,,,,,p4,001,2024-11-30_18h20.59.862,lexical decision,2024.1.5,None,2024-11-30 18h21.14.302034 +0530,
Zart,non-word,neutral,n,0,0,0,34,0.6018494999989343,,,,,,,,,0.5910064999989117,0.6018494999989343,1.5730803000005835,1.5730803000005835,1.6063641000000644,2.3753089000001637,n,1,0.7992276999993919,None,p4,001,2024-11-30_18h20.59.862,lexical decision,2024.1.5,None,2024-11-30 18h21.14.302034 +0530,
Door,word,neutral,w,0,1,1,25,2.3949028000006365,,,,,,,,,2.3770134999995207,2.3949028000006365,3.3892976000006456,3.3892976000006456,3.4061889000004157,3.8908780999990995,w,1,0.4841039000002638,None,p4,001,2024-11-30_18h20.59.862,lexical decision,2024.1.5,None,2024-11-30 18h21.14.302034 +0530,
Bright,word,positive,w,0,2,2,7,3.90855670000019,,,,,,,,,3.8923353999998653,3.90855670000019,4.905593699999372,4.905593699999372,4.9219809000005625,5.441111799998907,w,1,0.5331315000003087,None,p4,001,2024-11-30_18h20.59.862,lexical decision,2024.1.5,None,2024-11-30 18h21.14.302034 +0530,
Failure,word,negative,w,0,3,3,14,5.459307299999637,,,,,,,,,5.442508000000089,5.459307299999637,6.454925399999411,6.454925399999411,6.471767799999725,6.5074898999992,n,0,0.05038500000046042,None,p4,001,2024-11-30_18h20.59.862,lexical decision,2024.1.5,None,2024-11-30 18h21.14.302034 +0530,
Darz,non-word,neutral,n,0,4,4,38,6.524658799999088,,,,,,,,,6.508873599999788,6.524658799999088,7.521433399999296,7.521433399999296,7.537983599999279,7.973201400000107,w,0,0.435785699999542,None,p4,001,2024-11-30_18h20.59.862,lexical decision,2024.1.5,None,2024-11-30 18h21.14.302034 +0530,
Love,word,positive,w,0,5,5,2,7.993480900000577,,,,,,,,,7.975039499999184,7.993480900000577,8.987748699999429,8.987748699999429,9.00440179999896,9.406222399999024,w,1,0.41540140000142856,None,p4,001,2024-11-30_18h20.59.862,lexical decision,2024.1.5,None,2024-11-30 18h21.14.302034 +0530,
Fear,word,negative,w,0,6,6,12,9.422404900000402,,,,,,,,,9.407534199999645,9.422404900000402,10.420806399999492,10.420806399999492,10.437440399999105,10.922321199999715,w,1,0.4840557000006811,None,p4,001,2024-11-30_18h20.59.862,lexical decision,2024.1.5,None,2024-11-30 18h21.14.302034 +0530,
Cry,word,negative,w,0,7,7,17,10.940916600000492,,,,,,,,,10.924145499999213,10.940916600000492,11.936997099999644,11.936997099999644,11.953592599998956,12.271788399999423,w,1,0.3273251999999047,None,p4,001,2024-11-30_18h20.59.862,lexical decision,2024.1.5,None,2024-11-30 18h21.14.302034 +0530,
Bork,non-word,neutral,n,0,8,8,37,12.286772199999177,,,,,,,,,12.273169199999757,12.286772199999177,13.286544000000504,13.286544000000504,13.286544000000504,13.622278099999676,w,0,0.33351649999895017,None,p4,001,2024-11-30_18h20.59.862,lexical decision,2024.1.5,None,2024-11-30 18h21.14.302034 +0530,
Death,word,negative,w,0,9,9,13,13.637408200000209,,,,,,,,,13.623598899999706,13.637408200000209,14.635777800000142,14.635777800000142,14.652816100000564,15.154666200000065,w,1,0.5129321000003983,None,p4,001,2024-11-30_18h20.59.862,lexical decision,2024.1.5,None,2024-11-30 18h21.14.302034 +0530,
Frienship,word,positive,w,0,10,10,8,15.172597799999494,,,,,,,,,15.156241000000591,15.172597799999494,16.16886859999977,16.16886859999977,16.185602300000028,16.60464349999893,w,1,0.4335475999996561,None,p4,001,2024-11-30_18h20.59.862,lexical decision,2024.1.5,None,2024-11-30 18h21.14.302034 +0530,
