stimulus,word_type,valence,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,text.started,key_resp.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,fixation.started,stimuli.started,key_resp_2.started,fixation.stopped,trial.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.002671300000656629,0.007200600000942359,0.007200600000942359,0.8030674000001454,n,0.7864491000000271,None,,,,,,,,,,,p5,001,2024-11-30_18h22.32.915,lexical decision,2024.1.5,None,2024-11-30 18h22.46.967958 +0530,
Failure,word,negative,w,0,0,0,14,0.8390670999997383,,,,,,,,,0.8275174999998853,0.8390670999997383,1.8092990000004647,1.8092990000004647,1.8424795000009908,2.293833199999426,w,1,0.4768400000011752,None,p5,001,2024-11-30_18h22.32.915,lexical decision,2024.1.5,None,2024-11-30 18h22.46.967958 +0530,
Glirn,non-word,neutral,n,0,1,1,33,2.3115541000006488,,,,,,,,,2.29531119999956,2.3115541000006488,3.3088791000009223,3.3088791000009223,3.3253389000001334,3.726966399999583,w,0,0.4054631999988487,None,p5,001,2024-11-30_18h22.32.915,lexical decision,2024.1.5,None,2024-11-30 18h22.46.967958 +0530,
Woxel,non-word,neutral,n,0,2,2,32,3.7425569999995787,,,,,,,,,3.7282188999997743,3.7425569999995787,4.741445699999531,4.741445699999531,4.741445699999531,5.126233700000739,w,0,0.3733145999995031,None,p5,001,2024-11-30_18h22.32.915,lexical decision,2024.1.5,None,2024-11-30 18h22.46.967958 +0530,
Table,word,neutral,w,0,3,3,20,5.1413768000002165,,,,,,,,,5.127487300000212,5.1413768000002165,6.141630000000077,6.141630000000077,6.141630000000077,6.59503020000011,w,1,0.4503282000005129,None,p5,001,2024-11-30_18h22.32.915,lexical decision,2024.1.5,None,2024-11-30 18h22.46.967958 +0530,
Pencil,word,neutral,w,0,4,4,26,6.611772199999905,,,,,,,,,6.596657100000812,6.611772199999905,7.607819300001211,7.607819300001211,7.624288900000465,8.025869799999782,w,1,0.41094990000055986,None,p5,001,2024-11-30_18h22.32.915,lexical decision,2024.1.5,None,2024-11-30 18h22.46.967958 +0530,
Darz,non-word,neutral,n,0,5,5,38,8.043967900001007,,,,,,,,,8.027111200000945,8.043967900001007,9.040802900000926,9.040802900000926,9.05744009999944,9.409209499999633,w,0,0.352174700001342,None,p5,001,2024-11-30_18h22.32.915,lexical decision,2024.1.5,None,2024-11-30 18h22.46.967958 +0530,
Trouble,word,negative,w,0,6,6,18,9.425357899999653,,,,,,,,,9.41090450000047,9.425357899999653,10.423658699999578,10.423658699999578,10.440464499999507,10.908639700001004,w,1,0.4704822999992757,None,p5,001,2024-11-30_18h22.32.915,lexical decision,2024.1.5,None,2024-11-30 18h22.46.967958 +0530,
Bright,word,positive,w,0,7,7,7,10.929505800000697,,,,,,,,,10.910516899999493,10.929505800000697,11.923134099999515,11.923134099999515,11.939724600000773,12.241612100000566,w,1,0.30134499999985565,None,p5,001,2024-11-30_18h22.32.915,lexical decision,2024.1.5,None,2024-11-30 18h22.46.967958 +0530,
Zart,non-word,neutral,n,0,8,8,34,12.262873699999545,,,,,,,,,12.244253099999696,12.262873699999545,13.256162800000311,13.256162800000311,13.272763700000723,13.79080950000025,n,1,0.5259408000001713,None,p5,001,2024-11-30_18h22.32.915,lexical decision,2024.1.5,None,2024-11-30 18h22.46.967958 +0530,
Blurf,non-word,neutral,n,0,9,9,31,13.805697100000543,,,,,,,,,13.792143399999986,13.805697100000543,14.805640200000198,14.805640200000198,14.805640200000198,15.356901000001017,n,1,0.5398635000001377,None,p5,001,2024-11-30_18h22.32.915,lexical decision,2024.1.5,None,2024-11-30 18h22.46.967958 +0530,
Book,word,neutral,w,0,10,10,21,15.371801100000084,,,,,,,,,15.358220800000709,15.371801100000084,16.371657400000913,16.371657400000913,16.371657400000913,16.823846100000083,w,1,0.4495817999995779,None,p5,001,2024-11-30_18h22.32.915,lexical decision,2024.1.5,None,2024-11-30 18h22.46.967958 +0530,
Chair,word,neutral,w,0,11,11,22,16.84084310000071,,,,,,,,,16.82505780000065,16.84084310000071,17.837768700001106,17.837768700001106,17.8544966999998,18.239349600000423,w,1,0.3984298999985185,None,p5,001,2024-11-30_18h22.32.915,lexical decision,2024.1.5,None,2024-11-30 18h22.46.967958 +0530,
Hope,word,positive,w,0,12,12,9,18.256502199999886,,,,,,,,,18.240612100000362,18.256502199999886,19.25414339999952,19.25414339999952,19.270635599999878,19.80612420000034,w,1,0.5494161000005988,None,p5,001,2024-11-30_18h22.32.915,lexical decision,2024.1.5,None,2024-11-30 18h22.46.967958 +0530,
Door,word,neutral,w,0,13,13,25,19.82034399999975,,,,,,,,,19.807676899999933,19.82034399999975,20.820309700000507,20.820309700000507,20.820309700000507,21.388408500000878,w,1,0.550998200000322,None,p5,001,2024-11-30_18h22.32.915,lexical decision,2024.1.5,None,2024-11-30 18h22.46.967958 +0530,
Sad,word,negative,w,0,14,14,10,21.4076771,,,,,,,,,21.390414200001032,21.4076771,22.402881899999556,22.402881899999556,22.41973549999966,22.80641740000101,w,1,0.4007763999998133,None,p5,001,2024-11-30_18h22.32.915,lexical decision,2024.1.5,None,2024-11-30 18h22.46.967958 +0530,
Pain,word,negative,w,0,15,15,15,22.820096600000397,,,,,,,,,22.807652499999676,22.820096600000397,23.81927480000013,23.81927480000013,23.835852300000624,24.204227000000174,w,1,0.37659849999909056,None,p5,001,2024-11-30_18h22.32.915,lexical decision,2024.1.5,None,2024-11-30 18h22.46.967958 +0530,
Frienship,word,positive,w,0,16,16,8,24.219878800000515,,,,,,,,,24.205593099999533,24.219878800000515,25.218863899999633,25.218863899999633,25.235242500000822,25.57017459999952,n,0,0.3480113999994501,None,p5,001,2024-11-30_18h22.32.915,lexical decision,2024.1.5,None,2024-11-30 18h22.46.967958 +0530,
Xylph,non-word,neutral,n,0,17,17,30,25.588212399999975,,,,,,,,,25.571406600000046,25.588212399999975,26.584487100000842,26.584487100000842,26.601177700000335,26.819401300001118,w,0,0.2176761999999144,None,p5,001,2024-11-30_18h22.32.915,lexical decision,2024.1.5,None,2024-11-30 18h22.46.967958 +0530,
Clock,word,neutral,w,0,18,18,28,26.836402799999632,,,,,,,,,26.821228099999644,26.836402799999632,27.834384100000534,27.834384100000534,27.85127190000094,28.35292440000012,w,1,0.5131154999999126,None,p5,001,2024-11-30_18h22.32.915,lexical decision,2024.1.5,None,2024-11-30 18h22.46.967958 +0530,
Happy,word,positive,w,0,19,19,0,28.36959200000092,,,,,,,,,28.354657400001088,28.36959200000092,29.36743270000079,29.36743270000079,29.384061799999472,29.85224620000008,w,1,0.4774736999988818,None,p5,001,2024-11-30_18h22.32.915,lexical decision,2024.1.5,None,2024-11-30 18h22.46.967958 +0530,
Joy,word,positive,w,0,20,20,1,29.870742000000973,,,,,,,,,29.85359140000037,29.870742000000973,30.866742399999566,30.866742399999566,30.883401999999478,31.169119399999545,w,1,0.29578089999995427,None,p5,001,2024-11-30_18h22.32.915,lexical decision,2024.1.5,None,2024-11-30 18h22.46.967958 +0530,
Quimf,non-word,neutral,n,0,21,21,35,31.19027350000033,,,,,,,,,31.170853600000555,31.19027350000033,32.18316439999944,32.18316439999944,32.199698100001115,32.63500849999946,w,0,0.4392697000002954,None,p5,001,2024-11-30_18h22.32.915,lexical decision,2024.1.5,None,2024-11-30 18h22.46.967958 +0530,
Plonk,non-word,neutral,n,0,22,22,36,32.65262509999957,,,,,,,,,32.63668850000067,32.65262509999957,33.649314800000866,33.649314800000866,33.666021200000614,34.25092249999943,n,1,0.5961257999988447,None,p5,001,2024-11-30_18h22.32.915,lexical decision,2024.1.5,None,2024-11-30 18h22.46.967958 +0530,
Snarp,non-word,neutral,n,0,23,23,39,34.266705699999875,,,,,,,,,34.25242140000046,34.266705699999875,35.26532600000064,35.26532600000064,35.28193509999983,36.51758350000091,n,1,1.2363135000014154,None,p5,001,2024-11-30_18h22.32.915,lexical decision,2024.1.5,None,2024-11-30 18h22.46.967958 +0530,
