stimulus,word_type,valence,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,text.started,key_resp.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,fixation.started,stimuli.started,key_resp_2.started,fixation.stopped,trial.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Paper,word,neutral,w,0,24,24,29,36.53493979999985,,,,,,,,,36.51943779999965,36.53493979999985,37.53115500000058,37.53115500000058,37.54800629999954,38.965823500000624,w,1,1.417970200000127,None,p5,001,2024-11-30_18h22.32.915,lexical decision,2024.1.5,None,2024-11-30 18h22.46.967958 +0530,
Window,word,neutral,w,0,25,25,24,38.98089430000073,,,,,,,,,38.96772740000051,38.98089430000073,39.98041840000042,39.98041840000042,39.98041840000042,40.38219250000111,w,1,0.3984670999998343,None,p5,001,2024-11-30_18h22.32.915,lexical decision,2024.1.5,None,2024-11-30 18h22.46.967958 +0530,
Smile,word,positive,w,0,26,26,6,40.39666709999983,,,,,,,,,40.38351150000017,40.39666709999983,41.3963918999998,41.3963918999998,41.3963918999998,41.81487440000092,w,1,0.40968770000108634,None,p5,001,2024-11-30_18h22.32.915,lexical decision,2024.1.5,None,2024-11-30 18h22.46.967958 +0530,
Cry,word,negative,w,0,27,27,17,41.82955430000038,,,,,,,,,41.81632979999995,41.82955430000038,42.82922800000051,42.82922800000051,42.82922800000051,43.481108300000415,w,1,0.6408284999997704,None,p5,001,2024-11-30_18h22.32.915,lexical decision,2024.1.5,None,2024-11-30 18h22.46.967958 +0530,
Success,word,positive,w,0,28,28,3,43.49561410000024,,,,,,,,,43.482494699999734,43.49561410000024,44.495431200000894,44.495431200000894,44.495431200000894,45.01422430000093,w,1,0.5163771000006818,None,p5,001,2024-11-30_18h22.32.915,lexical decision,2024.1.5,None,2024-11-30 18h22.46.967958 +0530,
Lamp,word,neutral,w,0,29,29,23,45.03309079999963,,,,,,,,,45.01555379999991,45.03309079999963,46.028394599999956,46.028394599999956,46.044972300000154,46.3797555000001,w,1,0.34265270000105374,None,p5,001,2024-11-30_18h22.32.915,lexical decision,2024.1.5,None,2024-11-30 18h22.46.967958 +0530,
Death,word,negative,w,0,30,30,13,46.394692300000315,,,,,,,,,46.38118200000099,46.394692300000315,47.39454520000072,47.39454520000072,47.39454520000072,47.81268420000015,w,1,0.40552849999949103,None,p5,001,2024-11-30_18h22.32.915,lexical decision,2024.1.5,None,2024-11-30 18h22.46.967958 +0530,
Love,word,positive,w,0,31,31,2,47.83219529999951,,,,,,,,,47.8140027999998,47.83219529999951,48.82759780000015,48.82759780000015,48.84398710000096,49.212907000000996,w,1,0.3814241000000038,None,p5,001,2024-11-30_18h22.32.915,lexical decision,2024.1.5,None,2024-11-30 18h22.46.967958 +0530,
Peace,word,positive,w,0,32,32,5,49.2304838,,,,,,,,,49.21465519999947,49.2304838,50.2267539000004,50.2267539000004,50.243614299999535,50.712405500000386,w,1,0.47188679999999295,None,p5,001,2024-11-30_18h22.32.915,lexical decision,2024.1.5,None,2024-11-30 18h22.46.967958 +0530,
Bork,non-word,neutral,n,0,33,33,37,50.72653470000114,,,,,,,,,50.714046700000836,50.72653470000114,51.726222000001144,51.726222000001144,51.726222000001144,51.812376899999435,w,0,0.07239099999969767,None,p5,001,2024-11-30_18h22.32.915,lexical decision,2024.1.5,None,2024-11-30 18h22.46.967958 +0530,
Grief,word,negative,w,0,34,34,19,51.82683200000065,,,,,,,,,51.81423780000114,51.82683200000065,52.82612160000099,52.82612160000099,52.82612160000099,53.177742699999726,w,1,0.3345891999997548,None,p5,001,2024-11-30_18h22.32.915,lexical decision,2024.1.5,None,2024-11-30 18h22.46.967958 +0530,
Plant,word,neutral,w,0,35,35,27,53.193371400000615,,,,,,,,,53.179724100000385,53.193371400000615,54.19223559999955,54.19223559999955,54.20891169999959,54.56051740000112,w,1,0.36015260000021954,None,p5,001,2024-11-30_18h22.32.915,lexical decision,2024.1.5,None,2024-11-30 18h22.46.967958 +0530,
Loss,word,negative,w,0,36,36,16,54.574972599999455,,,,,,,,,54.5619071000001,54.574972599999455,55.57499470000039,55.57499470000039,55.57499470000039,55.92705709999973,w,1,0.346843399998761,None,p5,001,2024-11-30_18h22.32.915,lexical decision,2024.1.5,None,2024-11-30 18h22.46.967958 +0530,
Freedom,word,positive,w,0,37,37,4,55.94212640000114,,,,,,,,,55.928392100000565,55.94212640000114,56.94121439999981,56.94121439999981,56.94121439999981,57.17618630000106,w,1,0.22458729999925708,None,p5,001,2024-11-30_18h22.32.915,lexical decision,2024.1.5,None,2024-11-30 18h22.46.967958 +0530,
Anger,word,negative,w,0,38,38,11,57.19943090000015,,,,,,,,,57.17789190000076,57.19943090000015,58.19061959999999,58.19061959999999,58.2073548999997,58.526166400000875,w,1,0.33218549999946845,None,p5,001,2024-11-30_18h22.32.915,lexical decision,2024.1.5,None,2024-11-30 18h22.46.967958 +0530,
Fear,word,negative,w,0,39,39,12,58.54053849999946,,,,,,,,,58.52747670000099,58.54053849999946,59.540315199999895,59.540315199999895,59.540315199999895,59.875598900000114,w,1,0.3324265999999625,None,p5,001,2024-11-30_18h22.32.915,lexical decision,2024.1.5,None,2024-11-30 18h22.46.967958 +0530,
