reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
15,35,13,0,0,0,1,0.16857700003311038,,0.013318600016646087,0.16857700003311038,1.0091593000106514,1.0091593000106514,1.1758445000159554,13.895989700045902,t,12.732719499967061,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
78,80,162,0,1,1,6,13.918192000011913,,13.89828010002384,13.918192000011913,14.904764800041448,14.904764800041448,14.921503300021868,18.12252490001265,t,3.2016317999805324,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
49,60,89,0,2,2,4,18.144100800040178,,18.123955800023396,18.144100800040178,19.137128000031225,19.137128000031225,19.153550200047903,21.404020600020885,t,2.2608664000290446,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
27,50,21,0,3,3,2,21.419292100006714,,21.405388300016057,21.419292100006714,22.418950400024187,22.418950400024187,22.418950400024187,25.052952700003516,l,2.628145399969071,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
67,75,119,0,4,4,5,25.07211130001815,,25.05470570002217,25.07211130001815,26.067877100023907,26.067877100023907,26.084222400037106,29.884989600046538,t,3.801438299997244,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
11,30,7,0,5,5,0,29.901346000027843,,29.886447100027,29.901346000027843,30.899925000034273,30.899925000034273,30.916592099994887,35.46615130000282,l,4.555453600012697,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
40,55,62,0,6,6,3,35.48111390002305,,35.46751839999342,35.48111390002305,36.4810452000238,36.4810452000238,36.4810452000238,38.83212430001004,t,2.339394199952949,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
49,60,89,1,0,7,4,38.84899339999538,,38.83357320004143,38.84899339999538,39.846739600005094,39.846739600005094,39.86312230001204,43.63237200002186,t,3.781243000004906,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
11,30,7,1,1,8,0,43.65036720002536,,43.63460720004514,43.65036720002536,44.64510480000172,44.64510480000172,44.66169350000564,47.66232400003355,l,3.0069713999982923,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
78,80,162,1,2,9,6,47.67723210004624,,47.6636990000261,47.67723210004624,48.677049799996894,48.677049799996894,48.677049799996894,50.761916999996174,t,2.0736958000343293,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
67,75,119,1,3,10,5,50.78015460004099,,50.76424320001388,50.78015460004099,51.77611080004135,51.77611080004135,51.79273450002074,53.52645470004063,t,1.736219499958679,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
15,35,13,1,4,11,1,53.5416270000278,,53.52798479999183,53.5416270000278,54.54161350004142,54.54161350004142,54.54161350004142,56.908672099991236,l,2.361641600029543,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
27,50,21,1,5,12,2,56.923932900012005,,56.909911900002044,56.923932900012005,57.92361850000452,57.92361850000452,57.92361850000452,60.991842599993106,l,3.0646691000438295,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
40,55,62,1,6,13,3,61.008322500041686,,60.99334879999515,61.008322500041686,62.00594130001264,62.00594130001264,62.02275820000796,64.04041180002969,t,2.0310399000300094,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
40,55,62,2,0,14,3,64.05503760004649,,64.0417535000015,64.05503760004649,65.05484110000543,65.05484110000543,65.05484110000543,66.45572930003982,t,1.3864035999868065,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
78,80,162,2,1,15,6,66.47235570003977,,66.45729200000642,66.47235570003977,67.47029950004071,67.47029950004071,67.48693650000496,69.07076940004481,t,1.584963500034064,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
11,30,7,2,2,16,0,69.08640100003686,,69.07176379999146,69.08640100003686,70.08631000004243,70.08631000004243,70.08631000004243,71.40430769999512,l,1.303302899992559,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
49,60,89,2,3,17,4,71.42108100000769,,71.40609659999609,71.42108100000769,72.41912070004037,72.41912070004037,72.43582230003085,77.20163860003231,t,4.776538399979472,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
67,75,119,2,4,18,5,77.21684420004021,,77.20278310001595,77.21684420004021,78.21685419999994,78.21685419999994,78.21685419999994,81.90085450001061,t,3.6703737000352703,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
27,50,21,2,5,19,2,81.91687060002005,,81.90227610000875,81.91687060002005,82.91553070000373,82.91553070000373,82.93231320002815,85.99891980004031,l,3.0734953999635763,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
15,35,13,2,6,20,1,86.01394540001638,,85.99989989999449,86.01394540001638,87.01414159999695,87.01414159999695,87.01414159999695,92.01381050003693,t,4.98645809997106,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
15,35,13,3,0,21,1,92.02865069999825,,92.01499640004477,92.02865069999825,93.02835580002284,93.02835580002284,93.02835580002284,93.59676939999918,t,0.5546102000516839,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
67,75,119,3,1,22,5,93.61282090004534,,93.59821700002067,93.61282090004534,94.61135850002756,94.61135850002756,94.62810870003887,94.94599680003012,t,0.3245438999729231,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
40,55,62,3,2,23,3,94.96112590003759,,94.94708630000241,94.96112590003759,95.96104439999908,95.96104439999908,95.96104439999908,98.26226010004757,t,2.299487299984321,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
78,80,162,3,3,24,6,98.2767240999965,,98.26338200003374,98.2767240999965,99.2766232000431,99.2766232000431,99.2766232000431,100.07817799999611,t,0.7871625000261702,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
27,50,21,3,4,25,2,100.09593850001693,,100.08013499999652,100.09593850001693,101.09284180001123,101.09284180001123,101.1094507999951,101.61149989999831,t,0.5159457999980077,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
11,30,7,3,5,26,0,101.62756600003922,,101.61293520004256,101.62756600003922,102.62554830004228,102.62554830004228,102.64214280003216,102.96040949999588,l,0.32712490000994876,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
49,60,89,3,6,27,4,102.97693070000969,,102.96199670003261,102.97693070000969,103.9748655000003,103.9748655000003,103.99152680003317,104.27628540003207,t,0.2920045000500977,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
27,50,21,4,0,28,2,104.29126359999646,,104.2773999000201,104.29126359999646,105.29132210003445,105.29132210003445,105.29132210003445,106.27610320004169,t,0.9817050999845378,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
78,80,162,4,1,29,6,106.29192859999603,,106.27755640004762,106.29192859999603,107.29074100003345,107.29074100003345,107.30734590004431,107.89224390004529,t,0.5951487000565976,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
11,30,7,4,2,30,0,107.90809610002907,,107.89366590004647,107.90809610002907,108.90668430004735,108.90668430004735,108.92335660004755,109.77468590001808,t,0.8559992000227794,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
67,75,119,4,3,31,5,109.79206910001813,,109.77610040002037,109.79206910001813,110.78918250004062,110.78918250004062,110.80589540000074,111.34049100003904,t,0.5369572999770753,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
49,60,89,4,4,32,4,111.35553410003195,,111.34164020000026,111.35553410003195,112.35550900001545,112.35550900001545,112.35550900001545,112.72381490003318,t,0.3574568000040017,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
15,35,13,4,5,33,1,112.74048050004058,,112.72535060002701,112.74048050004058,113.73817940003937,113.73817940003937,113.75496240000939,114.37308360001771,t,0.6317383999703452,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
40,55,62,4,6,34,3,114.38901720003923,,114.37442780000856,114.38901720003923,115.38787410000805,115.38787410000805,115.40455940004904,115.85624490003102,t,0.4598069000057876,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
67,75,119,5,0,35,5,115.87347550003324,,115.85766650002915,115.87347550003324,116.8708939999924,116.8708939999924,116.88741700001992,117.47128150000935,t,0.5925078000291251,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
27,50,21,5,1,36,2,117.48687060002703,,117.47197300003609,117.48687060002703,118.48679049999919,118.48679049999919,118.48679049999919,118.5887253000401,l,0.09863540000515059,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
11,30,7,5,2,37,0,118.61029850004707,,118.590396900021,118.61029850004707,119.60298720002174,119.60298720002174,119.61968910001451,119.97111510002287,t,0.3552977999788709,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
78,80,162,5,3,38,6,119.98603980004555,,119.97243140003411,119.98603980004555,120.98605120001594,120.98605120001594,120.98605120001594,121.22122940002009,t,0.2197200000518933,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
15,35,13,5,4,39,1,121.23947870003758,,121.22325750003802,121.23947870003758,122.2357508999994,122.2357508999994,122.2522450000397,122.80388950003544,l,0.5535137000260875,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
40,55,62,5,5,40,3,122.82187840004917,,122.80600139999297,122.82187840004917,123.8183166999952,123.8183166999952,123.8353083000402,124.65315110003576,t,0.8238798000384122,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
49,60,89,5,6,41,4,124.66911990003427,,124.65456160000758,124.66911990003427,125.66787010000553,125.66787010000553,125.68435910000699,128.1185065000318,l,2.447274199977983,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
67,75,119,6,0,42,5,128.13612179999473,,128.12001270003384,128.13612179999473,129.13312549999682,129.13312549999682,129.14987150003435,130.28467620001175,t,1.1395661999704316,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
15,35,13,6,1,43,1,130.30046240001684,,130.2861826000153,130.30046240001684,131.29939430003287,131.29939430003287,131.3160280000302,132.10091660002945,t,0.798256499983836,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
78,80,162,6,2,44,6,132.11946700001135,,132.10265260003507,132.11946700001135,133.11523029999807,133.11523029999807,133.13191799999913,134.51649370003724,t,1.3838182999752462,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
49,60,89,6,3,45,4,134.53541380004026,,134.5186733000446,134.53541380004026,135.53107190004084,135.53107190004084,135.54765409999527,136.115852500021,t,0.5782287000329234,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
11,30,7,6,4,46,0,136.1343695000396,,136.1174268000177,136.1343695000396,137.1304990000208,137.1304990000208,137.1472150000045,137.79901560000144,l,0.6601121000130661,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
27,50,21,6,5,47,2,137.8191917000222,,137.8006216000067,137.8191917000222,138.81314670003485,138.81314670003485,138.82992770004785,140.69789569999557,t,1.8811788999591954,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
40,55,62,6,6,48,3,140.71434820001014,,140.69949150003958,140.71434820001014,141.71223649999592,141.71223649999592,141.72889470000518,145.44603029999416,t,3.71990409999853,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
67,75,119,7,0,49,5,145.46333160001086,,145.44766920001712,145.46333160001086,146.4608617000049,146.4608617000049,146.47733419999713,147.9782882000436,t,1.5113878000411205,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
27,50,21,7,1,50,2,147.99325980001595,,147.9796147000161,147.99325980001595,148.9930716000381,148.9930716000381,148.9930716000381,149.5614641000284,t,0.5582944999914616,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
11,30,7,7,2,51,0,149.57848090003245,,149.56293400004506,149.57848090003245,150.5758914000471,150.5758914000471,150.5926476000459,151.26108450000174,t,0.6724276000168175,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
40,55,62,7,3,52,3,151.2795913000009,,151.2628199000028,151.2795913000009,152.2753210000228,152.2753210000228,152.29216010001255,152.72638619999634,t,0.4374997999984771,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
78,80,162,7,4,53,6,152.74176230002195,,152.72785480000312,152.74176230002195,153.74104930000613,153.74104930000613,153.74104930000613,154.2597491000197,t,0.5160698999534361,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
15,35,13,7,5,54,1,154.283997200022,,154.2612064999994,154.283997200022,155.27391450002324,155.27391450002324,155.29044340003747,156.52511899999809,l,1.234136299986858,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
49,60,89,7,6,55,4,156.54336390004028,,156.5277608000324,156.54336390004028,157.53977050003596,157.53977050003596,157.5565514000482,158.5569545000326,t,1.0121987000457011,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
78,80,162,8,0,56,6,158.57229660003213,,158.55789280001773,158.57229660003213,159.57247760001337,159.57247760001337,159.57247760001337,160.30741470004432,t,0.732129400013946,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
11,30,7,8,1,57,0,160.32193199999165,,160.30886420002207,160.32193199999165,161.32190440001432,161.32190440001432,161.32190440001432,162.05569050001213,t,0.7244958000374027,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
27,50,21,8,2,58,2,162.07111030002125,,162.05666450003628,162.07111030002125,163.07121540000662,163.07121540000662,163.07121540000662,165.02295090002008,t,1.9486747999908403,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
15,35,13,8,3,59,1,165.04047460004222,,165.02453650004463,165.04047460004222,166.03669269999955,166.03669269999955,166.05341220000992,169.32090350001818,l,3.2671182000194676,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
67,75,119,8,4,60,5,169.33832900004927,,169.32301829999778,169.33832900004927,170.33548490004614,170.33548490004614,170.35195620002924,172.81928400002653,t,2.4688572000013664,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
49,60,89,8,5,61,4,172.83800980000524,,172.82102000003215,172.83800980000524,173.8340770000359,173.8340770000359,173.85072280000895,175.33586990000913,t,1.4990593999973498,None,p01,001,2024-11-18_18h24.13.270,Delay discounting,2024.1.5,None,2024-11-18 18h24.37.280778 +0530,
