reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
78,80,162,0,0,0,6,0.09689110002364032,,0.012144400010583922,0.09689110002364032,1.014191700000083,1.014191700000083,1.0975266000023112,1.6556339000235312,t,0.6316703999764286,None,p2,001,2024-11-15_11h27.40.685,Delay discounting,2024.1.5,None,2024-11-15 11h27.59.072761 +0530,
67,75,119,0,1,1,5,1.6710961000062525,,1.657450400001835,1.6710961000062525,2.663596600003075,2.663596600003075,2.680328200018266,4.0647310000204016,t,1.3856066000007559,None,p2,001,2024-11-15_11h27.40.685,Delay discounting,2024.1.5,None,2024-11-15 11h27.59.072761 +0530,
49,60,89,0,2,2,4,4.083134800021071,,4.066184399998747,4.083134800021071,5.079728400014574,5.079728400014574,5.096358900016639,5.94808600001852,t,0.8540077999932691,None,p2,001,2024-11-15_11h27.40.685,Delay discounting,2024.1.5,None,2024-11-15 11h27.59.072761 +0530,
40,55,62,0,3,3,3,5.962999800016405,,5.94957080000313,5.962999800016405,6.962573800003156,6.962573800003156,6.962573800003156,7.846809400012717,t,0.8761962999997195,None,p2,001,2024-11-15_11h27.40.685,Delay discounting,2024.1.5,None,2024-11-15 11h27.59.072761 +0530,
27,50,21,0,4,4,2,7.861721799999941,,7.847794400004204,7.861721799999941,8.861888700019335,8.861888700019335,8.861888700019335,9.512545600009616,l,0.6350618999858852,None,p2,001,2024-11-15_11h27.40.685,Delay discounting,2024.1.5,None,2024-11-15 11h27.59.072761 +0530,
11,30,7,0,5,5,0,9.527677000005497,,9.51387930000783,9.527677000005497,10.527840599999763,10.527840599999763,10.527840599999763,11.19526860001497,l,0.6600300999998581,None,p2,001,2024-11-15_11h27.40.685,Delay discounting,2024.1.5,None,2024-11-15 11h27.59.072761 +0530,
15,35,13,0,6,6,1,11.210471800004598,,11.196203900006367,11.210471800004598,12.210401100019226,12.210401100019226,12.210401100019226,12.746456499997294,l,0.531999500002712,None,p2,001,2024-11-15_11h27.40.685,Delay discounting,2024.1.5,None,2024-11-15 11h27.59.072761 +0530,
11,30,7,1,0,7,0,12.770389300014358,,12.748009800008731,12.770389300014358,13.760080400010338,13.760080400010338,13.779005799995502,14.295745600014925,l,0.5283104999980424,None,p2,001,2024-11-15_11h27.40.685,Delay discounting,2024.1.5,None,2024-11-15 11h27.59.072761 +0530,
27,50,21,1,1,8,2,14.316327100008493,,14.297993000014685,14.316327100008493,15.309780000010505,15.309780000010505,15.326346700021531,15.777323800022714,l,0.4544578999921214,None,p2,001,2024-11-15_11h27.40.685,Delay discounting,2024.1.5,None,2024-11-15 11h27.59.072761 +0530,
40,55,62,1,2,9,3,15.792362800013507,,15.7783621000126,15.792362800013507,16.79224989999784,16.79224989999784,16.79224989999784,17.543440500012366,t,0.7345781000040006,None,p2,001,2024-11-15_11h27.40.685,Delay discounting,2024.1.5,None,2024-11-15 11h27.59.072761 +0530,
49,60,89,1,3,10,4,17.55824320000829,,17.544839900016086,17.55824320000829,18.558238400000846,18.558238400000846,18.558238400000846,19.79277220001677,t,1.2326247000019066,None,p2,001,2024-11-15_11h27.40.685,Delay discounting,2024.1.5,None,2024-11-15 11h27.59.072761 +0530,
67,75,119,1,4,11,5,19.80770289999782,,19.794344900001306,19.80770289999782,20.807530100020813,20.807530100020813,20.807530100020813,21.908564800018212,t,1.0965608999831602,None,p2,001,2024-11-15_11h27.40.685,Delay discounting,2024.1.5,None,2024-11-15 11h27.59.072761 +0530,
