reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
15,35,13,0,0,0,1,0.2076692999980878,,0.028189499978907406,0.2076692999980878,1.0000016999838408,1.0000016999838408,1.2165575999824796,2.0342861999815796,t,1.0328891999961343,None,p3,001,2024-11-15_11h32.53.018,Delay discounting,2024.1.5,None,2024-11-15 11h33.09.832936 +0530,
67,75,119,0,1,1,5,2.0505173999990802,,2.035786899999948,2.0505173999990802,3.049314499978209,3.049314499978209,3.065988099988317,3.333894399984274,l,0.2774046999984421,None,p3,001,2024-11-15_11h32.53.018,Delay discounting,2024.1.5,None,2024-11-15 11h33.09.832936 +0530,
11,30,7,0,2,2,0,3.3501966999901924,,3.3353557999944314,3.3501966999901924,4.349083099979907,4.349083099979907,4.3658571999985725,4.65059299999848,t,0.2858406000013929,None,p3,001,2024-11-15_11h32.53.018,Delay discounting,2024.1.5,None,2024-11-15 11h33.09.832936 +0530,
78,80,162,0,3,3,6,4.671424400003161,,4.652312099991832,4.671424400003161,5.665535599982832,5.665535599982832,5.682085299980827,5.999968999996781,l,0.32881110001471825,None,p3,001,2024-11-15_11h32.53.018,Delay discounting,2024.1.5,None,2024-11-15 11h33.09.832936 +0530,
49,60,89,0,4,4,4,6.016426999995019,,6.001119799999287,6.016426999995019,7.014685200003441,7.014685200003441,7.032283599983202,7.333648900006665,l,0.31693480000831187,None,p3,001,2024-11-15_11h32.53.018,Delay discounting,2024.1.5,None,2024-11-15 11h33.09.832936 +0530,
40,55,62,0,5,5,3,7.350621699995827,,7.334778699994786,7.350621699995827,8.347605699993437,8.347605699993437,8.364265399985015,8.615434399980586,l,0.25405730001511984,None,p3,001,2024-11-15_11h32.53.018,Delay discounting,2024.1.5,None,2024-11-15 11h33.09.832936 +0530,
27,50,21,0,6,6,2,8.630649099999573,,8.616674799995963,8.630649099999573,9.630513799987966,9.630513799987966,9.630513799987966,9.798675300000468,t,0.15501879999646917,None,p3,001,2024-11-15_11h32.53.018,Delay discounting,2024.1.5,None,2024-11-15 11h33.09.832936 +0530,
15,35,13,1,0,7,1,9.817967099981615,,9.800036899978295,9.817967099981615,10.813503999990644,10.813503999990644,10.830166999978246,11.081323999998858,t,0.2561151999980211,None,p3,001,2024-11-15_11h32.53.018,Delay discounting,2024.1.5,None,2024-11-15 11h33.09.832936 +0530,
78,80,162,1,1,8,6,11.09661059998325,,11.08232109999517,11.09661059998325,12.09642299998086,12.09642299998086,12.09642299998086,12.364143299986608,t,0.2563275000138674,None,p3,001,2024-11-15_11h32.53.018,Delay discounting,2024.1.5,None,2024-11-15 11h33.09.832936 +0530,
27,50,21,1,2,9,2,12.379412399983266,,12.365174699982163,12.379412399983266,13.379230499995174,13.379230499995174,13.379230499995174,13.647217199992156,t,0.2608204999996815,None,p3,001,2024-11-15_11h32.53.018,Delay discounting,2024.1.5,None,2024-11-15 11h33.09.832936 +0530,
