reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
15,35,13,0,0,0,1,0.10306819999823347,,0.012932100013131276,0.10306819999823347,1.006863999995403,1.006863999995403,1.1068759000045247,1.4800349000142887,l,0.4548754999996163,None,p4,001,2024-11-15_11h32.53.018,Delay discounting,2024.1.5,None,2024-11-15 11h35.58.600692 +0530,
40,55,62,0,1,1,3,1.4958715999964625,,1.4818617000128143,1.4958715999964625,2.4896542000060435,2.4896542000060435,2.5062993000028655,2.890757200017106,l,0.3908242000034079,None,p4,001,2024-11-15_11h32.53.018,Delay discounting,2024.1.5,None,2024-11-15 11h35.58.600692 +0530,
49,60,89,0,2,2,4,2.9059991000103764,,2.8918215000012424,2.9059991000103764,3.9058048000151757,3.9058048000151757,3.9058048000151757,4.275294099992607,l,0.3662187999871094,None,p4,001,2024-11-15_11h32.53.018,Delay discounting,2024.1.5,None,2024-11-15 11h35.58.600692 +0530,
27,50,21,0,3,3,2,4.29242450001766,,4.276825600012671,4.29242450001766,5.288745800004108,5.288745800004108,5.3054186000081245,5.373213400016539,t,0.07503119998727925,None,p4,001,2024-11-15_11h32.53.018,Delay discounting,2024.1.5,None,2024-11-15 11h35.58.600692 +0530,
78,80,162,0,4,4,6,5.388686999998754,,5.3743013000057545,5.388686999998754,6.3885732000053395,6.3885732000053395,6.3885732000053395,6.906146499997703,l,0.5003368000034243,None,p4,001,2024-11-15_11h32.53.018,Delay discounting,2024.1.5,None,2024-11-15 11h35.58.600692 +0530,
11,30,7,0,5,5,0,6.921598499990068,,6.907179400004679,6.921598499990068,7.921428400004515,7.921428400004515,7.921428400004515,8.405843200016534,t,0.47330750001128763,None,p4,001,2024-11-15_11h32.53.018,Delay discounting,2024.1.5,None,2024-11-15 11h35.58.600692 +0530,
67,75,119,0,6,6,5,8.42113580001751,,8.406878800014965,8.42113580001751,9.420997500012163,9.420997500012163,9.420997500012163,10.022707800002536,t,0.597048800002085,None,p4,001,2024-11-15_11h32.53.018,Delay discounting,2024.1.5,None,2024-11-15 11h35.58.600692 +0530,
49,60,89,1,0,7,4,10.036717500013765,,10.024059199990006,10.036717500013765,11.036761800001841,11.036761800001841,11.036761800001841,11.456143199990038,t,0.40353899999172427,None,p4,001,2024-11-15_11h32.53.018,Delay discounting,2024.1.5,None,2024-11-15 11h35.58.600692 +0530,
27,50,21,1,1,8,2,11.472370600007707,,11.4578584000119,11.472370600007707,12.469708699994953,12.469708699994953,12.48633189999964,12.987793800013606,l,0.5073694000020623,None,p4,001,2024-11-15_11h32.53.018,Delay discounting,2024.1.5,None,2024-11-15 11h35.58.600692 +0530,
67,75,119,1,2,9,5,13.002639500016812,,12.98879209998995,13.002639500016812,14.002368200017372,14.002368200017372,14.002368200017372,15.005019200005336,t,0.9988127999822609,None,p4,001,2024-11-15_11h32.53.018,Delay discounting,2024.1.5,None,2024-11-15 11h35.58.600692 +0530,
