study_word,test,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,TestText.started,textbox.started,submit_text.started,testmouse.started,test.stopped,textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,TestText.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
T-shirt,,,,0,0,0,7,,,,,0.07199219998437911,,0.014398999977856874,0.07199219998437911,0.07199219998437911,1.6393479999387637,1.0518518518518518,1.58626880007796,,,,,,,,,,,,,,,,P04,001,2024-10-26_15h44.05.332,word priming,2024.1.5,None,2024-10-26 15h44.23.784955 +0530,
phone,,,,0,1,1,2,,,,,1.6755846999585629,,1.6400366999441758,1.6755846999585629,1.6755846999585629,2.0685918000526726,1.0518518518518518,0.38170839997474104,,,,,,,,,,,,,,,,P04,001,2024-10-26_15h44.05.332,word priming,2024.1.5,None,2024-10-26 15h44.23.784955 +0530,
keys,,,,0,2,2,13,,,,,2.1218728000530973,,2.0697326000081375,2.1218728000530973,2.1218728000530973,2.724447299959138,1.0518518518518518,0.6099664999637753,,,,,,,,,,,,,,,,P04,001,2024-10-26_15h44.05.332,word priming,2024.1.5,None,2024-10-26 15h44.23.784955 +0530,
board,,,,0,3,3,4,,,,,2.7616811000043526,,2.7251049999613315,2.7616811000043526,2.7616811000043526,3.244795099948533,1.0518518518518518,0.4841097000753507,,,,,,,,,,,,,,,,P04,001,2024-10-26_15h44.05.332,word priming,2024.1.5,None,2024-10-26 15h44.23.784955 +0530,
cushion,,,,0,4,4,1,,,,,3.2757589999819174,,3.245281400042586,3.2757589999819174,3.2757589999819174,3.7924443000229076,1.0518518518518518,0.515695400070399,,,,,,,,,,,,,,,,P04,001,2024-10-26_15h44.05.332,word priming,2024.1.5,None,2024-10-26 15h44.23.784955 +0530,
case,,,,0,5,5,10,,,,,3.8223249999573454,,3.7930462999502197,3.8223249999573454,3.8223249999573454,4.567147399997339,1.0518518518518518,0.7365413999650627,,,,,,,,,,,,,,,,P04,001,2024-10-26_15h44.05.332,word priming,2024.1.5,None,2024-10-26 15h44.23.784955 +0530,
cruise,,,,0,6,6,11,,,,,4.599483099998906,,4.5676819999935105,4.599483099998906,4.599483099998906,6.156579899950884,1.0518518518518518,1.5558957000030205,,,,,,,,,,,,,,,,P04,001,2024-10-26_15h44.05.332,word priming,2024.1.5,None,2024-10-26 15h44.23.784955 +0530,
laptop,,,,0,7,7,5,,,,,6.193537299986929,,6.157252999953926,6.193537299986929,6.193537299986929,7.421882999944501,4.037037037037037,1.2225676999660209,,,,,,,,,,,,,,,,P04,001,2024-10-26_15h44.05.332,word priming,2024.1.5,None,2024-10-26 15h44.23.784955 +0530,
poster,,,,0,8,8,14,,,,,7.462231399957091,,7.422429000027478,7.462231399957091,7.462231399957091,7.9117190999677405,4.037037037037037,0.4504909999668598,,,,,,,,,,,,,,,,P04,001,2024-10-26_15h44.05.332,word priming,2024.1.5,None,2024-10-26 15h44.23.784955 +0530,
marble,,,,0,9,9,3,,,,,7.949431800050661,,7.912291200016625,7.949431800050661,7.949431800050661,8.57190790004097,4.037037037037037,0.6239370999392122,,,,,,,,,,,,,,,,P04,001,2024-10-26_15h44.05.332,word priming,2024.1.5,None,2024-10-26 15h44.23.784955 +0530,
book,,,,0,10,10,0,,,,,8.60453819995746,,8.572366300038993,8.60453819995746,8.60453819995746,9.282647600048222,4.037037037037037,0.6748191999504343,,,,,,,,,,,,,,,,P04,001,2024-10-26_15h44.05.332,word priming,2024.1.5,None,2024-10-26 15h44.23.784955 +0530,
police,,,,0,11,11,12,,,,,9.323968700016849,,9.283218099968508,9.323968700016849,9.323968700016849,10.290854700026102,2.8962962962962964,0.9611743000568822,,,,,,,,,,,,,,,,P04,001,2024-10-26_15h44.05.332,word priming,2024.1.5,None,2024-10-26 15h44.23.784955 +0530,
pastry,,,,0,12,12,9,,,,,10.336685999995098,,10.291679900023155,10.336685999995098,10.336685999995098,11.05694209993817,2.062962962962963,0.7241669000359252,,,,,,,,,,,,,,,,P04,001,2024-10-26_15h44.05.332,word priming,2024.1.5,None,2024-10-26 15h44.23.784955 +0530,
chart,,,,0,13,13,6,,,,,11.1012761000311,,11.057494499953464,11.1012761000311,11.1012761000311,11.9776194000151,1,0.8747994999866933,,,,,,,,,,,,,,,,P04,001,2024-10-26_15h44.05.332,word priming,2024.1.5,None,2024-10-26 15h44.23.784955 +0530,
mouse,,,,0,14,14,8,,,,,12.017217600019649,,11.978390899952501,12.017217600019649,12.017217600019649,12.474402499967255,1.037037037037037,0.45667039998807013,,,,,,,,,,,,,,,,P04,001,2024-10-26_15h44.05.332,word priming,2024.1.5,None,2024-10-26 15h44.23.784955 +0530,
