study_word,test,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,TestText.started,textbox.started,submit_text.started,testmouse.started,test.stopped,textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,TestText.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,c_s_,case,old,,,,,0,0,0,5,12.532743399962783,,,,,,,,12.489965899963863,12.532743399962783,12.532743399962783,12.532743399962783,0.023482399992644787,16.441762799979188,CASE,[-0.018518518518518517],[-0.3138888888888889],[1],[0],[0],[3.9426924000727013],['submit_text'],,P04,001,2024-10-26_15h44.05.332,word priming,2024.1.5,None,2024-10-26 15h44.23.784955 +0530,
,p_nc_l,pencil,new,,,,,0,1,1,16,16.474003699957393,,,,,,,,16.44518879998941,16.474003699957393,16.474003699957393,16.474003699957393,0.00659320002887398,20.965963699971326,PENCIL,[-0.01574074074074074],[-0.3138888888888889],[1],[0],[0],[4.513914799899794],['submit_text'],,P04,001,2024-10-26_15h44.05.332,word priming,2024.1.5,None,2024-10-26 15h44.23.784955 +0530,
,_ho_e,phone,old,,,,,0,2,2,12,20.992206800030544,,,,,,,,20.96743239997886,20.992206800030544,20.992206800030544,20.992206800030544,0.005817900062538683,24.865219800034538,SHOE,[-0.01574074074074074],[-0.3138888888888889],[1],[0],[0],[3.891319000045769],['submit_text'],,P04,001,2024-10-26_15h44.05.332,word priming,2024.1.5,None,2024-10-26 15h44.23.784955 +0530,
,_oo_,book,old,,,,,0,3,3,13,24.89063229993917,,,,,,,,24.867036300012842,24.89063229993917,24.89063229993917,24.89063229993917,0.005482899956405163,29.632017500000075,BOOK,"[-0.044444444444444446, -0.03518518518518519]","[-0.26851851851851855, -0.30925925925925923]","[1, 1]","[0, 0]","[0, 0]","[3.5256020999513566, 4.759259299957193]",['submit_text'],,P04,001,2024-10-26_15h44.05.332,word priming,2024.1.5,None,2024-10-26 15h44.23.784955 +0530,
,bo_t_e,bottle,new,,,,,0,4,4,18,29.662178799975663,,,,,,,,29.63404689996969,29.662178799975663,29.662178799975663,29.662178799975663,0.006119400030001998,32.86199979996309,BOTTLE,[-0.03518518518518519],[-0.30925925925925923],[1],[0],[0],[3.221466900082305],['submit_text'],,P04,001,2024-10-26_15h44.05.332,word priming,2024.1.5,None,2024-10-26 15h44.23.784955 +0530,
,p_li_e,police,old,,,,,0,5,5,7,32.885482499958016,,,,,,,,32.86337559996173,32.885482499958016,32.885482499958016,32.885482499958016,0.0049480999587103724,35.760679099941626,POLICE,[-0.03518518518518519],[-0.30925925925925923],[1],[0],[0],[2.891832199995406],['submit_text'],,P04,001,2024-10-26_15h44.05.332,word priming,2024.1.5,None,2024-10-26 15h44.23.784955 +0530,
,_ou_e,mouse,old,,,,,0,6,6,3,35.78282910003327,,,,,,,,35.76167210005224,35.78282910003327,35.78282910003327,35.78282910003327,0.005530499969609082,38.1102803000249,MOUSE,[-0.03888888888888889],[-0.29814814814814816],[1],[0],[0],[2.342235399992205],['submit_text'],,P04,001,2024-10-26_15h44.05.332,word priming,2024.1.5,None,2024-10-26 15h44.23.784955 +0530,
,_a_ble,marble,old,,,,,0,7,7,11,38.14092190004885,,,,,,,,38.11212519998662,38.14092190004885,38.14092190004885,38.14092190004885,0.006999699980951846,41.02614670002367,MARBLE,[-0.03888888888888889],[-0.29814814814814816],[1],[0],[0],[2.9064538000384346],['submit_text'],,P04,001,2024-10-26_15h44.05.332,word priming,2024.1.5,None,2024-10-26 15h44.23.784955 +0530,
,ta_l_,table,new,,,,,0,8,8,15,41.0508105000481,,,,,,,,41.028056400013156,41.0508105000481,41.0508105000481,41.0508105000481,0.005741799948737025,43.94311919994652,TABLE,[-0.03888888888888889],[-0.29814814814814816],[1],[0],[0],[2.9088268000632524],['submit_text'],,P04,001,2024-10-26_15h44.05.332,word priming,2024.1.5,None,2024-10-26 15h44.23.784955 +0530,
,v_s_,vase,new,,,,,0,9,9,17,43.97129729995504,,,,,,,,43.94459620001726,43.97129729995504,43.97129729995504,43.97129729995504,0.007468300056643784,45.958897799951956,VASE,[-0.03888888888888889],[-0.29814814814814816],[1],[0],[0],[2.006106899934821],['submit_text'],,P04,001,2024-10-26_15h44.05.332,word priming,2024.1.5,None,2024-10-26 15h44.23.784955 +0530,
,_ha_t,chart,old,,,,,0,10,10,1,45.9825330999447,,,,,,,,45.96022490004543,45.9825330999447,45.9825330999447,45.9825330999447,0.005271099973469973,50.74141759995837,CHART,[-0.03888888888888889],[-0.29814814814814816],[0],[0],[1],[4.775188399944454],['submit_text'],,P04,001,2024-10-26_15h44.05.332,word priming,2024.1.5,None,2024-10-26 15h44.23.784955 +0530,
,c_s_io_,cushion,old,,,,,0,11,11,14,50.771416099974886,,,,,,,,50.742836999939755,50.771416099974886,50.771416099974886,50.771416099974886,0.006665399996563792,54.90429890004452,CRUISE,[-0.03888888888888889],[-0.29814814814814816],[1],[0],[0],[4.154167999979109],['submit_text'],,P04,001,2024-10-26_15h44.05.332,word priming,2024.1.5,None,2024-10-26 15h44.23.784955 +0530,
,T_hi_t,Tshirt,old,,,,,0,12,12,2,54.92885769996792,,,,,,,,54.9056120000314,54.92885769996792,54.92885769996792,54.92885769996792,0.005212800111621618,59.27006639994215,TSHIRT,[-0.03888888888888889],[-0.29814814814814816],[1],[0],[0],[4.358512900071219],['submit_text'],,P04,001,2024-10-26_15h44.05.332,word priming,2024.1.5,None,2024-10-26 15h44.23.784955 +0530,
,c_m_ra,camera,new,,,,,0,13,13,19,59.301368799991906,,,,,,,,59.27178399998229,59.301368799991906,59.301368799991906,59.301368799991906,0.005612700013443828,61.90263300004881,CAMERA,[-0.03888888888888889],[-0.29814814814814816],[1],[0],[0],[2.6245929000433534],['submit_text'],,P04,001,2024-10-26_15h44.05.332,word priming,2024.1.5,None,2024-10-26 15h44.23.784955 +0530,
,p_st_y,pastry,old,,,,,0,14,14,4,61.93320269999094,,,,,,,,61.90476009994745,61.93320269999094,61.93320269999094,61.93320269999094,0.007693500025197864,65.56805849994998,PATRY,[-0.03888888888888889],[-0.29814814814814816],[1],[0],[0],[3.6547956001013517],['submit_text'],,P04,001,2024-10-26_15h44.05.332,word priming,2024.1.5,None,2024-10-26 15h44.23.784955 +0530,
,_o_rd,board,old,,,,,0,15,15,10,65.59702979994472,,,,,,,,65.57063990004826,65.59702979994472,65.59702979994472,65.59702979994472,0.006973300012759864,84.62858060002327,BOARD,[-0.04537037037037037],[-0.27685185185185185],[1],[0],[0],[19.050422499887645],['submit_text'],75.59760590002406,P04,001,2024-10-26_15h44.05.332,word priming,2024.1.5,None,2024-10-26 15h44.23.784955 +0530,
,p_st_r,poster,old,,,,,0,16,16,9,84.66252929996699,,,,,,,,84.63130250002723,84.66252929996699,84.66252929996699,84.66252929996699,0.008592800004407763,87.09465490002185,POSTER,[-0.04537037037037037],[-0.27685185185185185],[1],[0],[0],[2.454071699990891],['submit_text'],,P04,001,2024-10-26_15h44.05.332,word priming,2024.1.5,None,2024-10-26 15h44.23.784955 +0530,
,_ru_s_,cruise,old,,,,,0,17,17,6,87.13406399998348,,,,,,,,87.09708249999676,87.13406399998348,87.13406399998348,87.13406399998348,0.008912399993278086,91.39218349999283,CRUISE,"[-0.05092592592592592, -0.03148148148148148]","[-0.26666666666666666, -0.3194444444444444]","[1, 1]","[0, 0]","[0, 0]","[3.3362319000298157, 4.285595000023022]",['submit_text'],,P04,001,2024-10-26_15h44.05.332,word priming,2024.1.5,None,2024-10-26 15h44.23.784955 +0530,
,k_y_,keys,old,,,,,0,18,18,8,91.42325909994543,,,,,,,,91.3934225999983,91.42325909994543,91.42325909994543,91.42325909994543,0.005230800015851855,93.87479359994177,KEYS,[-0.03148148148148148],[-0.3194444444444444],[1],[0],[0],[2.475306799984537],['submit_text'],,P04,001,2024-10-26_15h44.05.332,word priming,2024.1.5,None,2024-10-26 15h44.23.784955 +0530,
,l_pt_p,laptop,old,,,,,0,19,19,0,93.9008790999651,,,,,,,,93.87653250002768,93.9008790999651,93.9008790999651,93.9008790999651,0.005566100007854402,97.5583644999424,LAPTOP,[-0.03148148148148148],[-0.3194444444444444],[1],[0],[0],[3.675570599967614],['submit_text'],,P04,001,2024-10-26_15h44.05.332,word priming,2024.1.5,None,2024-10-26 15h44.23.784955 +0530,
