study_word,test,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,TestText.started,textbox.started,submit_text.started,testmouse.started,test.stopped,textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
phone,,,,0,0,0,2,,,,,0.0799735999898985,,0.013945900020189583,0.0799735999898985,0.0799735999898985,2.22351219994016,1.0851851851851853,2.165265699964948,,,,,,,,,,,,,,,P02,001,2024-10-26_15h41.22.719,word priming,2024.1.5,None,2024-10-26 15h41.37.156109 +0530,
marble,,,,0,1,1,3,,,,,2.265566000016406,,2.2245169000234455,2.265566000016406,2.265566000016406,3.5193520999746397,1.0851851851851853,1.2548108999617398,,,,,,,,,,,,,,,P02,001,2024-10-26_15h41.22.719,word priming,2024.1.5,None,2024-10-26 15h41.37.156109 +0530,
poster,,,,0,2,2,14,,,,,3.560141499969177,,3.519821499940008,3.560141499969177,3.560141499969177,5.0588574999710545,1.0851851851851853,1.5061718999641016,,,,,,,,,,,,,,,P02,001,2024-10-26_15h41.22.719,word priming,2024.1.5,None,2024-10-26 15h41.37.156109 +0530,
pastry,,,,0,3,3,9,,,,,5.086196999996901,,5.059254299965687,5.086196999996901,5.086196999996901,5.825191700016148,1.0851851851851853,0.7301910000387579,,,,,,,,,,,,,,,P02,001,2024-10-26_15h41.22.719,word priming,2024.1.5,None,2024-10-26 15h41.37.156109 +0530,
cushion,,,,0,4,4,1,,,,,5.868811900028959,,5.825853699934669,5.868811900028959,5.868811900028959,6.66343890002463,1.0851851851851853,0.8000573000172153,,,,,,,,,,,,,,,P02,001,2024-10-26_15h41.22.719,word priming,2024.1.5,None,2024-10-26 15h41.37.156109 +0530,
book,,,,0,5,5,0,,,,,6.707094399956986,,6.663873399957083,6.707094399956986,6.707094399956986,6.890959199983627,1.0851851851851853,0.18441200000233948,,,,,,,,,,,,,,,P02,001,2024-10-26_15h41.22.719,word priming,2024.1.5,None,2024-10-26 15h41.37.156109 +0530,
police,,,,0,6,6,12,,,,,6.934124200022779,,6.891915899934247,6.934124200022779,6.934124200022779,7.379614799981937,1.0851851851851853,0.44414579996373504,,,,,,,,,,,,,,,P02,001,2024-10-26_15h41.22.719,word priming,2024.1.5,None,2024-10-26 15h41.37.156109 +0530,
chart,,,,0,7,7,6,,,,,7.41438209998887,,7.380066799931228,7.41438209998887,7.41438209998887,9.828240899951197,4.974074074074074,2.408279599971138,,,,,,,,,,,,,,,P02,001,2024-10-26_15h41.22.719,word priming,2024.1.5,None,2024-10-26 15h41.37.156109 +0530,
cruise,,,,0,8,8,11,,,,,9.864452600013465,,9.828949799994007,9.864452600013465,9.864452600013465,10.892521100002341,2.9407407407407407,1.0276177000487223,,,,,,,,,,,,,,,P02,001,2024-10-26_15h41.22.719,word priming,2024.1.5,None,2024-10-26 15h41.37.156109 +0530,
board,,,,0,9,9,4,,,,,10.93288219999522,,10.893080299952999,10.93288219999522,10.93288219999522,12.001814999966882,4.055555555555555,1.0693693000357598,,,,,,,,,,,,,,,P02,001,2024-10-26_15h41.22.719,word priming,2024.1.5,None,2024-10-26 15h41.37.156109 +0530,
laptop,,,,0,10,10,5,,,,,12.039441399974748,,12.002522199996747,12.039441399974748,12.039441399974748,12.739534999942407,3.966666666666667,0.7019145999802276,,,,,,,,,,,,,,,P02,001,2024-10-26_15h41.22.719,word priming,2024.1.5,None,2024-10-26 15h41.37.156109 +0530,
keys,,,,0,11,11,13,,,,,12.777827500016429,,12.740082799922675,12.777827500016429,12.777827500016429,13.999646699987352,1,1.2191292000934482,,,,,,,,,,,,,,,P02,001,2024-10-26_15h41.22.719,word priming,2024.1.5,None,2024-10-26 15h41.37.156109 +0530,
case,,,,0,12,12,10,,,,,14.02903099998366,,14.000272099976428,14.02903099998366,14.02903099998366,14.499761599930935,1,0.46525419992394745,,,,,,,,,,,,,,,P02,001,2024-10-26_15h41.22.719,word priming,2024.1.5,None,2024-10-26 15h41.37.156109 +0530,
T-shirt,,,,0,13,13,7,,,,,14.54638920002617,,14.50030950002838,14.54638920002617,14.54638920002617,15.114059899933636,1,0.5745703999418765,,,,,,,,,,,,,,,P02,001,2024-10-26_15h41.22.719,word priming,2024.1.5,None,2024-10-26 15h41.37.156109 +0530,
mouse,,,,0,14,14,8,,,,,15.155800099950284,,15.114569399971515,15.155800099950284,15.155800099950284,15.750738799921237,1,0.5954302999889478,,,,,,,,,,,,,,,P02,001,2024-10-26_15h41.22.719,word priming,2024.1.5,None,2024-10-26 15h41.37.156109 +0530,
,p_li_e,police,old,,,,,0,0,0,7,15.792091800016351,,,,,,,,15.765250399941579,15.792091800016351,15.792091800016351,15.792091800016351,0.02141970000229776,21.05239199998323,POLICE,[0.041666666666666664],[-0.28888888888888886],[1],[0],[0],[5.279121199971996],['submit_text'],P02,001,2024-10-26_15h41.22.719,word priming,2024.1.5,None,2024-10-26 15h41.37.156109 +0530,
,c_s_,case,old,,,,,0,1,1,5,21.082069399999455,,,,,,,,21.055248399963602,21.082069399999455,21.082069399999455,21.082069399999455,0.005858700023964047,24.51691170001868,CASE,[0.041666666666666664],[-0.28888888888888886],[1],[0],[0],[3.455356499995105],['submit_text'],P02,001,2024-10-26_15h41.22.719,word priming,2024.1.5,None,2024-10-26 15h41.37.156109 +0530,
,c_s_io_,cushion,old,,,,,0,2,2,14,24.541658199974336,,,,,,,,24.518542499979958,24.541658199974336,24.541658199974336,24.541658199974336,0.0060400000074878335,28.29907990002539,CASIO,[0.008333333333333333],[-0.2861111111111111],[1],[0],[0],[3.773964999942109],['submit_text'],P02,001,2024-10-26_15h41.22.719,word priming,2024.1.5,None,2024-10-26 15h41.37.156109 +0530,
,T_hi_t,Tshirt,old,,,,,0,3,3,2,28.32284639996942,,,,,,,,28.300920099951327,28.32284639996942,28.32284639996942,28.32284639996942,0.005052000051364303,31.298385999980383,TSHIRT,[0.008333333333333333],[-0.2861111111111111],[1],[0],[0],[2.991938699968159],['submit_text'],P02,001,2024-10-26_15h41.22.719,word priming,2024.1.5,None,2024-10-26 15h41.37.156109 +0530,
,_ha_t,chart,old,,,,,0,4,4,1,31.32511869992595,,,,,,,,31.299738500034437,31.32511869992595,31.32511869992595,31.32511869992595,0.00686129997484386,34.18080309999641,CHART,[0.001851851851851852],[-0.2851851851851852],[1],[0],[0],[2.8736661999719217],['submit_text'],P02,001,2024-10-26_15h41.22.719,word priming,2024.1.5,None,2024-10-26 15h41.37.156109 +0530,
,p_st_r,poster,old,,,,,0,5,5,9,34.20771440002136,,,,,,,,34.18224909994751,34.20771440002136,34.20771440002136,34.20771440002136,0.005937900044955313,37.397441899986006,POSTER,[0.001851851851851852],[-0.2851851851851852],[1],[0],[0],[3.208681199932471],['submit_text'],P02,001,2024-10-26_15h41.22.719,word priming,2024.1.5,None,2024-10-26 15h41.37.156109 +0530,
,_o_rd,board,old,,,,,0,6,6,10,37.422893499955535,,,,,,,,37.39885440003127,37.422893499955535,37.422893499955535,37.422893499955535,0.005669599981047213,46.0263496999396,CORD,[0.025925925925925925],[-0.3175925925925926],[1],[0],[0],[8.621342699974775],['submit_text'],P02,001,2024-10-26_15h41.22.719,word priming,2024.1.5,None,2024-10-26 15h41.37.156109 +0530,
,_ou_e,mouse,old,,,,,0,7,7,3,46.054164799978025,,,,,,,,46.02755519992206,46.054164799978025,46.054164799978025,46.054164799978025,0.0051772999577224255,49.25941519998014,MOUSE,[0.006481481481481481],[-0.28703703703703703],[1],[0],[0],[3.2260236999718472],['submit_text'],P02,001,2024-10-26_15h41.22.719,word priming,2024.1.5,None,2024-10-26 15h41.37.156109 +0530,
,p_nc_l,pencil,new,,,,,0,8,8,16,49.2871812999947,,,,,,,,49.261050099972636,49.2871812999947,49.2871812999947,49.2871812999947,0.005852399975992739,52.808688599965535,PENCIL,[0.009259259259259259],[-0.28888888888888886],[1],[0],[0],[3.5412567000603303],['submit_text'],P02,001,2024-10-26_15h41.22.719,word priming,2024.1.5,None,2024-10-26 15h41.37.156109 +0530,
,_ru_s_,cruise,old,,,,,0,9,9,6,52.839112899964675,,,,,,,,52.81056539993733,52.839112899964675,52.839112899964675,52.839112899964675,0.0067656999453902245,61.77136919996701,CRUISE,[-0.022222222222222223],[-0.30277777777777776],[1],[0],[0],[8.95343380002305],['submit_text'],P02,001,2024-10-26_15h41.22.719,word priming,2024.1.5,None,2024-10-26 15h41.37.156109 +0530,
,c_m_ra,camera,new,,,,,0,10,10,19,61.797334100003354,,,,,,,,61.77277199993841,61.797334100003354,61.797334100003354,61.797334100003354,0.005349699989892542,66.46992699999828,CAMERA,[-0.022222222222222223],[-0.30277777777777776],[1],[0],[0],[4.691116099944338],['submit_text'],P02,001,2024-10-26_15h41.22.719,word priming,2024.1.5,None,2024-10-26 15h41.37.156109 +0530,
,v_s_,vase,new,,,,,0,11,11,17,66.504234299995,,,,,,,,66.47166059992742,66.504234299995,66.504234299995,66.504234299995,0.00830409990157932,69.10487149993423,VASE,[-0.022222222222222223],[-0.30277777777777776],[1],[0],[0],[2.623791499994695],['submit_text'],P02,001,2024-10-26_15h41.22.719,word priming,2024.1.5,None,2024-10-26 15h41.37.156109 +0530,
,_oo_,book,old,,,,,0,12,12,13,69.13382320001256,,,,,,,,69.10640339995734,69.13382320001256,69.13382320001256,69.13382320001256,0.005190400057472289,73.10324670001864,HOOK,[-0.022222222222222223],[-0.30277777777777776],[1],[0],[0],[3.9907879000529647],['submit_text'],P02,001,2024-10-26_15h41.22.719,word priming,2024.1.5,None,2024-10-26 15h41.37.156109 +0530,
,k_y_,keys,old,,,,,0,13,13,8,73.13138329994399,,,,,,,,73.10476389992982,73.13138329994399,73.13138329994399,73.13138329994399,0.005597400013357401,76.8339478999842,KEYS,[-0.022222222222222223],[-0.30277777777777776],[1],[0],[0],[3.722589800017886],['submit_text'],P02,001,2024-10-26_15h41.22.719,word priming,2024.1.5,None,2024-10-26 15h41.37.156109 +0530,
